id,pillar,title,params
1,min_trap,"The minimum payment trap on $16,250 of credit card debt","{""balance"":16250,""apr"":15,""min_pct"":1,""min_floor"":25}"
2,extra_payment,"$13,000 credit card debt at 17% APR? Do this","{""balance"":13000,""apr"":17,""payment"":470,""extra"":400}"
3,snowball_vs_avalanche,I ran the math on 5 debts. Snowball vs Avalanche,"{""debts"":[{""name"":""Card A"",""balance"":7800,""apr"":12,""min"":195},{""name"":""Card D"",""balance"":8600,""apr"":29,""min"":215},{""name"":""Personal loan"",""balance"":6600,""apr"":26,""min"":165},{""name"":""Card C"",""balance"":9000,""apr"":12,""min"":225},{""name"":""Store card"",""balance"":11500,""apr"":17,""min"":290}],""budget"":1590}"
4,utilization,"How much to pay to get under 30% utilization on a $4,000 card","{""balance"":2100,""limit"":4000}"
5,min_trap,"The minimum payment trap on $6,250 of credit card debt","{""balance"":6250,""apr"":27,""min_pct"":1,""min_floor"":25}"
6,extra_payment,"The $75 trick that saves months on $6,000 of debt","{""balance"":6000,""apr"":21,""payment"":160,""extra"":75}"
7,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $24,200","{""debts"":[{""name"":""Card A"",""balance"":1600,""apr"":21,""min"":40},{""name"":""Card C"",""balance"":12500,""apr"":23,""min"":310},{""name"":""Card D"",""balance"":8900,""apr"":14,""min"":220},{""name"":""Card B"",""balance"":1200,""apr"":19,""min"":30}],""budget"":1200}"
8,utilization,"How much to pay to get under 30% utilization on a $1,500 card","{""balance"":1350,""limit"":1500}"
9,min_trap,"The minimum payment trap on $21,750 of credit card debt","{""balance"":21750,""apr"":21,""min_pct"":1,""min_floor"":25}"
10,extra_payment,"How $200 extra per month kills $23,250 of debt faster","{""balance"":23250,""apr"":28,""payment"":710,""extra"":200}"
11,snowball_vs_avalanche,"Smallest balance first or highest APR first? $20,400 test","{""debts"":[{""name"":""Card D"",""balance"":9300,""apr"":17,""min"":230},{""name"":""Store card"",""balance"":8200,""apr"":19,""min"":205},{""name"":""Card A"",""balance"":2900,""apr"":24,""min"":70}],""budget"":705}"
12,utilization,78% credit utilization? Here is the fix,"{""balance"":1950,""limit"":2500}"
13,min_trap,"Paying only the minimum on $21,250 takes HOW long?","{""balance"":21250,""apr"":27,""min_pct"":1,""min_floor"":25}"
14,extra_payment,"How $250 extra per month kills $12,250 of debt faster","{""balance"":12250,""apr"":15,""payment"":450,""extra"":250}"
15,snowball_vs_avalanche,I ran the math on 2 debts. Snowball vs Avalanche,"{""debts"":[{""name"":""Card B"",""balance"":13200,""apr"":22,""min"":330},{""name"":""Personal loan"",""balance"":3600,""apr"":27,""min"":90}],""budget"":720}"
16,utilization,"How much to pay to get under 30% utilization on a $2,000 card","{""balance"":1000,""limit"":2000}"
17,min_trap,"What the minimum payment really costs on $7,000","{""balance"":7000,""apr"":23,""min_pct"":1,""min_floor"":25}"
18,extra_payment,"$13,750 at 24%: paying $430 vs $655 a month","{""balance"":13750,""apr"":24,""payment"":430,""extra"":225}"
19,snowball_vs_avalanche,"Smallest balance first or highest APR first? $35,300 test","{""debts"":[{""name"":""Card B"",""balance"":11500,""apr"":15,""min"":290},{""name"":""Card D"",""balance"":2700,""apr"":17,""min"":70},{""name"":""Card C"",""balance"":12000,""apr"":25,""min"":300},{""name"":""Card A"",""balance"":9100,""apr"":24,""min"":230}],""budget"":1190}"
20,utilization,68% credit utilization? Here is the fix,"{""balance"":5100,""limit"":7500}"
21,min_trap,"Paying only the minimum on $24,250 takes HOW long?","{""balance"":24250,""apr"":28,""min_pct"":1,""min_floor"":25}"
22,extra_payment,"How $400 extra per month kills $34,250 of debt faster","{""balance"":34250,""apr"":16,""payment"":1210,""extra"":400}"
23,snowball_vs_avalanche,"Smallest balance first or highest APR first? $42,700 test","{""debts"":[{""name"":""Card A"",""balance"":7100,""apr"":20,""min"":180},{""name"":""Store card"",""balance"":14600,""apr"":17,""min"":365},{""name"":""Card C"",""balance"":7900,""apr"":15,""min"":200},{""name"":""Card D"",""balance"":13100,""apr"":21,""min"":330}],""budget"":1675}"
24,utilization,"How much to pay to get under 30% utilization on a $12,000 card","{""balance"":5650,""limit"":12000}"
25,min_trap,"What the minimum payment really costs on $10,000","{""balance"":10000,""apr"":17,""min_pct"":1,""min_floor"":25}"
26,extra_payment,"How $200 extra per month kills $30,250 of debt faster","{""balance"":30250,""apr"":22,""payment"":770,""extra"":200}"
27,snowball_vs_avalanche,I ran the math on 3 debts. Snowball vs Avalanche,"{""debts"":[{""name"":""Card A"",""balance"":1700,""apr"":27,""min"":40},{""name"":""Card B"",""balance"":12300,""apr"":29,""min"":310},{""name"":""Card D"",""balance"":11600,""apr"":16,""min"":290}],""budget"":1140}"
28,utilization,45% credit utilization? Here is the fix,"{""balance"":4500,""limit"":10000}"
29,min_trap,"Why your $13,750 card balance never goes down","{""balance"":13750,""apr"":24,""min_pct"":1,""min_floor"":25}"
30,extra_payment,"How $100 extra per month kills $48,250 of debt faster","{""balance"":48250,""apr"":29,""payment"":1600,""extra"":100}"
31,snowball_vs_avalanche,"Snowball vs Avalanche on $23,200. Which wins?","{""debts"":[{""name"":""Card D"",""balance"":2300,""apr"":19,""min"":60},{""name"":""Store card"",""balance"":1400,""apr"":12,""min"":35},{""name"":""Card C"",""balance"":9000,""apr"":19,""min"":225},{""name"":""Personal loan"",""balance"":9000,""apr"":12,""min"":225},{""name"":""Card B"",""balance"":1500,""apr"":13,""min"":40}],""budget"":735}"
32,utilization,90% credit utilization? Here is the fix,"{""balance"":900,""limit"":1000}"
33,min_trap,"The minimum payment trap on $2,750 of credit card debt","{""balance"":2750,""apr"":18,""min_pct"":1,""min_floor"":25}"
34,extra_payment,"The $500 trick that saves months on $33,750 of debt","{""balance"":33750,""apr"":18,""payment"":1120,""extra"":500}"
35,snowball_vs_avalanche,"Snowball vs Avalanche on $26,500. Which wins?","{""debts"":[{""name"":""Card B"",""balance"":1900,""apr"":25,""min"":50},{""name"":""Card C"",""balance"":5600,""apr"":25,""min"":140},{""name"":""Personal loan"",""balance"":7300,""apr"":13,""min"":180},{""name"":""Card A"",""balance"":10300,""apr"":15,""min"":260},{""name"":""Store card"",""balance"":1400,""apr"":22,""min"":35}],""budget"":1265}"
36,utilization,"How much to pay to get under 30% utilization on a $2,500 card","{""balance"":1200,""limit"":2500}"
37,min_trap,"$5,500 at 22% APR, minimum payments only. Brutal math","{""balance"":5500,""apr"":22,""min_pct"":1,""min_floor"":25}"
38,extra_payment,"$43,750 credit card debt at 16% APR? Do this","{""balance"":43750,""apr"":16,""payment"":1380,""extra"":400}"
39,snowball_vs_avalanche,"Snowball vs Avalanche on $27,700. Which wins?","{""debts"":[{""name"":""Card C"",""balance"":6000,""apr"":24,""min"":150},{""name"":""Card B"",""balance"":4300,""apr"":26,""min"":110},{""name"":""Card D"",""balance"":4600,""apr"":29,""min"":115},{""name"":""Card A"",""balance"":10100,""apr"":27,""min"":250},{""name"":""Store card"",""balance"":2700,""apr"":21,""min"":70}],""budget"":845}"
40,utilization,"Pay this much before your statement closes ($9,850 on $12,000)","{""balance"":9850,""limit"":12000}"
41,min_trap,"Paying only the minimum on $2,500 takes HOW long?","{""balance"":2500,""apr"":20,""min_pct"":1,""min_floor"":25}"
42,extra_payment,"Add $50 a month to a $3,500 balance. Watch what happens","{""balance"":3500,""apr"":22,""payment"":110,""extra"":50}"
43,snowball_vs_avalanche,"Snowball vs Avalanche on $21,900. Which wins?","{""debts"":[{""name"":""Personal loan"",""balance"":12800,""apr"":14,""min"":320},{""name"":""Card A"",""balance"":9100,""apr"":19,""min"":230}],""budget"":850}"
44,utilization,"Pay this much before your statement closes ($6,000 on $12,000)","{""balance"":6000,""limit"":12000}"
45,min_trap,"Paying only the minimum on $15,250 takes HOW long?","{""balance"":15250,""apr"":24,""min_pct"":1,""min_floor"":25}"
46,extra_payment,"How $200 extra per month kills $21,500 of debt faster","{""balance"":21500,""apr"":24,""payment"":720,""extra"":200}"
47,snowball_vs_avalanche,"2 debts, $6,000 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card A"",""balance"":3600,""apr"":20,""min"":90},{""name"":""Personal loan"",""balance"":2400,""apr"":23,""min"":60}],""budget"":250}"
48,utilization,"Pay this much before your statement closes ($6,600 on $7,500)","{""balance"":6600,""limit"":7500}"
49,min_trap,"What the minimum payment really costs on $18,000","{""balance"":18000,""apr"":24,""min_pct"":1,""min_floor"":25}"
50,extra_payment,"Add $50 a month to a $1,500 balance. Watch what happens","{""balance"":1500,""apr"":28,""payment"":50,""extra"":50}"
51,snowball_vs_avalanche,"Snowball vs Avalanche on $33,800. Which wins?","{""debts"":[{""name"":""Card A"",""balance"":4600,""apr"":18,""min"":115},{""name"":""Card D"",""balance"":10900,""apr"":18,""min"":270},{""name"":""Card B"",""balance"":10500,""apr"":20,""min"":260},{""name"":""Card C"",""balance"":7800,""apr"":20,""min"":195}],""budget"":1440}"
52,utilization,"The credit utilization math on a $1,500 limit","{""balance"":1100,""limit"":1500}"
53,min_trap,"Paying only the minimum on $21,000 takes HOW long?","{""balance"":21000,""apr"":15,""min_pct"":1,""min_floor"":25}"
54,extra_payment,"Add $150 a month to a $17,250 balance. Watch what happens","{""balance"":17250,""apr"":17,""payment"":600,""extra"":150}"
55,snowball_vs_avalanche,"5 debts, $43,200 total. Snowball or Avalanche?","{""debts"":[{""name"":""Personal loan"",""balance"":14200,""apr"":16,""min"":355},{""name"":""Card C"",""balance"":8400,""apr"":23,""min"":210},{""name"":""Card A"",""balance"":8900,""apr"":16,""min"":220},{""name"":""Card D"",""balance"":6700,""apr"":13,""min"":170},{""name"":""Store card"",""balance"":5000,""apr"":13,""min"":125}],""budget"":1280}"
56,utilization,"Your $7,500 balance on a $15,000 limit is hurting your score","{""balance"":7500,""limit"":15000}"
57,min_trap,"Why your $9,500 card balance never goes down","{""balance"":9500,""apr"":23,""min_pct"":1,""min_floor"":25}"
58,extra_payment,"Add $100 a month to a $48,750 balance. Watch what happens","{""balance"":48750,""apr"":26,""payment"":1330,""extra"":100}"
59,snowball_vs_avalanche,"3 debts, $35,100 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card C"",""balance"":11200,""apr"":22,""min"":280},{""name"":""Card A"",""balance"":11800,""apr"":25,""min"":295},{""name"":""Card B"",""balance"":12100,""apr"":19,""min"":300}],""budget"":1075}"
60,utilization,"The credit utilization math on a $20,000 limit","{""balance"":8200,""limit"":20000}"
61,min_trap,"Why your $22,000 card balance never goes down","{""balance"":22000,""apr"":28,""min_pct"":1,""min_floor"":25}"
62,extra_payment,"How $200 extra per month kills $12,000 of debt faster","{""balance"":12000,""apr"":28,""payment"":470,""extra"":200}"
63,snowball_vs_avalanche,"Smallest balance first or highest APR first? $24,900 test","{""debts"":[{""name"":""Card B"",""balance"":6300,""apr"":20,""min"":160},{""name"":""Card A"",""balance"":13000,""apr"":20,""min"":325},{""name"":""Card D"",""balance"":5600,""apr"":28,""min"":140}],""budget"":925}"
64,utilization,"Your $3,800 balance on a $4,000 limit is hurting your score","{""balance"":3800,""limit"":4000}"
65,min_trap,"$3,750 at 19% APR, minimum payments only. Brutal math","{""balance"":3750,""apr"":19,""min_pct"":1,""min_floor"":25}"
66,extra_payment,"$29,500 at 19%: paying $750 vs $1,250 a month","{""balance"":29500,""apr"":19,""payment"":750,""extra"":500}"
67,snowball_vs_avalanche,"4 debts, $25,600 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card D"",""balance"":14800,""apr"":15,""min"":370},{""name"":""Store card"",""balance"":6100,""apr"":18,""min"":150},{""name"":""Card C"",""balance"":4200,""apr"":25,""min"":105},{""name"":""Personal loan"",""balance"":500,""apr"":29,""min"":25}],""budget"":1150}"
68,utilization,"Your $2,500 balance on a $4,000 limit is hurting your score","{""balance"":2500,""limit"":4000}"
69,min_trap,"The minimum payment trap on $23,750 of credit card debt","{""balance"":23750,""apr"":29,""min_pct"":1,""min_floor"":25}"
70,extra_payment,"The $150 trick that saves months on $31,500 of debt","{""balance"":31500,""apr"":25,""payment"":1190,""extra"":150}"
71,snowball_vs_avalanche,"Smallest balance first or highest APR first? $33,300 test","{""debts"":[{""name"":""Card D"",""balance"":10600,""apr"":29,""min"":265},{""name"":""Card C"",""balance"":2300,""apr"":25,""min"":60},{""name"":""Store card"",""balance"":10100,""apr"":24,""min"":250},{""name"":""Card B"",""balance"":10300,""apr"":17,""min"":260}],""budget"":1235}"
72,utilization,"Pay this much before your statement closes ($1,800 on $3,000)","{""balance"":1800,""limit"":3000}"
73,min_trap,"The minimum payment trap on $21,000 of credit card debt","{""balance"":21000,""apr"":19,""min_pct"":1,""min_floor"":25}"
74,extra_payment,"$11,250 at 27%: paying $380 vs $580 a month","{""balance"":11250,""apr"":27,""payment"":380,""extra"":200}"
75,snowball_vs_avalanche,"Snowball vs Avalanche on $42,500. Which wins?","{""debts"":[{""name"":""Card C"",""balance"":10100,""apr"":21,""min"":250},{""name"":""Card B"",""balance"":8000,""apr"":22,""min"":200},{""name"":""Card D"",""balance"":1900,""apr"":19,""min"":50},{""name"":""Store card"",""balance"":10300,""apr"":19,""min"":260},{""name"":""Card A"",""balance"":12200,""apr"":16,""min"":305}],""budget"":1165}"
76,utilization,"Pay this much before your statement closes ($1,600 on $2,500)","{""balance"":1600,""limit"":2500}"
77,min_trap,"Why your $21,500 card balance never goes down","{""balance"":21500,""apr"":16,""min_pct"":1,""min_floor"":25}"
78,extra_payment,"$21,250 at 25%: paying $710 vs $960 a month","{""balance"":21250,""apr"":25,""payment"":710,""extra"":250}"
79,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $32,300","{""debts"":[{""name"":""Card B"",""balance"":3700,""apr"":28,""min"":90},{""name"":""Card D"",""balance"":7200,""apr"":29,""min"":180},{""name"":""Card A"",""balance"":4100,""apr"":15,""min"":100},{""name"":""Card C"",""balance"":7100,""apr"":26,""min"":180},{""name"":""Personal loan"",""balance"":10200,""apr"":29,""min"":255}],""budget"":1205}"
80,utilization,"Pay this much before your statement closes ($5,550 on $7,500)","{""balance"":5550,""limit"":7500}"
81,min_trap,"What the minimum payment really costs on $11,250","{""balance"":11250,""apr"":29,""min_pct"":1,""min_floor"":25}"
82,extra_payment,"$22,750 at 17%: paying $820 vs $1,120 a month","{""balance"":22750,""apr"":17,""payment"":820,""extra"":300}"
83,snowball_vs_avalanche,"4 debts, $14,600 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card B"",""balance"":4000,""apr"":26,""min"":100},{""name"":""Store card"",""balance"":1600,""apr"":21,""min"":40},{""name"":""Card C"",""balance"":3900,""apr"":22,""min"":100},{""name"":""Personal loan"",""balance"":5100,""apr"":29,""min"":130}],""budget"":470}"
84,utilization,"The credit utilization math on a $2,000 limit","{""balance"":1000,""limit"":2000}"
85,min_trap,"$17,750 at 26% APR, minimum payments only. Brutal math","{""balance"":17750,""apr"":26,""min_pct"":1,""min_floor"":25}"
86,extra_payment,"$4,250 at 21%: paying $130 vs $205 a month","{""balance"":4250,""apr"":21,""payment"":130,""extra"":75}"
87,snowball_vs_avalanche,"Snowball vs Avalanche on $19,000. Which wins?","{""debts"":[{""name"":""Card B"",""balance"":6100,""apr"":12,""min"":150},{""name"":""Card C"",""balance"":12900,""apr"":24,""min"":320}],""budget"":770}"
88,utilization,"The credit utilization math on a $4,000 limit","{""balance"":2150,""limit"":4000}"
89,min_trap,"What the minimum payment really costs on $14,000","{""balance"":14000,""apr"":26,""min_pct"":1,""min_floor"":25}"
90,extra_payment,"How $100 extra per month kills $40,250 of debt faster","{""balance"":40250,""apr"":29,""payment"":1140,""extra"":100}"
91,snowball_vs_avalanche,"Snowball vs Avalanche on $14,900. Which wins?","{""debts"":[{""name"":""Card A"",""balance"":5200,""apr"":26,""min"":130},{""name"":""Store card"",""balance"":5200,""apr"":24,""min"":130},{""name"":""Card C"",""balance"":4500,""apr"":25,""min"":110}],""budget"":570}"
92,utilization,"Pay this much before your statement closes ($2,700 on $7,500)","{""balance"":2700,""limit"":7500}"
93,min_trap,"$2,250 at 20% APR, minimum payments only. Brutal math","{""balance"":2250,""apr"":20,""min_pct"":1,""min_floor"":25}"
94,extra_payment,"The $50 trick that saves months on $31,500 of debt","{""balance"":31500,""apr"":18,""payment"":850,""extra"":50}"
95,snowball_vs_avalanche,"Snowball vs Avalanche on $29,200. Which wins?","{""debts"":[{""name"":""Card C"",""balance"":2900,""apr"":15,""min"":70},{""name"":""Store card"",""balance"":11800,""apr"":17,""min"":295},{""name"":""Personal loan"",""balance"":14500,""apr"":15,""min"":360}],""budget"":1125}"
96,utilization,"The credit utilization math on a $3,000 limit","{""balance"":2150,""limit"":3000}"
97,min_trap,"$10,500 at 26% APR, minimum payments only. Brutal math","{""balance"":10500,""apr"":26,""min_pct"":1,""min_floor"":25}"
98,extra_payment,"$4,750 credit card debt at 26% APR? Do this","{""balance"":4750,""apr"":26,""payment"":180,""extra"":100}"
99,snowball_vs_avalanche,I ran the math on 4 debts. Snowball vs Avalanche,"{""debts"":[{""name"":""Card D"",""balance"":11800,""apr"":23,""min"":295},{""name"":""Personal loan"",""balance"":8200,""apr"":23,""min"":205},{""name"":""Card A"",""balance"":1500,""apr"":22,""min"":40},{""name"":""Store card"",""balance"":700,""apr"":25,""min"":25}],""budget"":1165}"
100,utilization,63% credit utilization? Here is the fix,"{""balance"":950,""limit"":1500}"
101,min_trap,"Why your $16,250 card balance never goes down","{""balance"":16250,""apr"":28,""min_pct"":1,""min_floor"":25}"
102,extra_payment,"How $400 extra per month kills $35,750 of debt faster","{""balance"":35750,""apr"":21,""payment"":990,""extra"":400}"
103,snowball_vs_avalanche,"Debt Snowball vs Avalanche: the real numbers on $35,200","{""debts"":[{""name"":""Card C"",""balance"":12500,""apr"":14,""min"":310},{""name"":""Card D"",""balance"":4500,""apr"":26,""min"":110},{""name"":""Store card"",""balance"":4000,""apr"":26,""min"":100},{""name"":""Card B"",""balance"":8800,""apr"":24,""min"":220},{""name"":""Card A"",""balance"":5400,""apr"":27,""min"":135}],""budget"":1475}"
104,utilization,86% credit utilization? Here is the fix,"{""balance"":3450,""limit"":4000}"
105,min_trap,"What the minimum payment really costs on $9,250","{""balance"":9250,""apr"":29,""min_pct"":1,""min_floor"":25}"
106,extra_payment,"Add $400 a month to a $35,250 balance. Watch what happens","{""balance"":35250,""apr"":19,""payment"":1180,""extra"":400}"
107,snowball_vs_avalanche,"Snowball vs Avalanche on $18,100. Which wins?","{""debts"":[{""name"":""Card B"",""balance"":7600,""apr"":19,""min"":190},{""name"":""Card C"",""balance"":10500,""apr"":27,""min"":260}],""budget"":750}"
108,utilization,"How much to pay to get under 30% utilization on a $5,000 card","{""balance"":3950,""limit"":5000}"
109,min_trap,"The minimum payment trap on $8,250 of credit card debt","{""balance"":8250,""apr"":24,""min_pct"":1,""min_floor"":25}"
110,extra_payment,"How $400 extra per month kills $24,250 of debt faster","{""balance"":24250,""apr"":23,""payment"":730,""extra"":400}"
111,snowball_vs_avalanche,"4 debts, $31,600 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card D"",""balance"":4100,""apr"":15,""min"":100},{""name"":""Card C"",""balance"":11000,""apr"":22,""min"":275},{""name"":""Store card"",""balance"":2200,""apr"":29,""min"":55},{""name"":""Card B"",""balance"":14300,""apr"":17,""min"":360}],""budget"":940}"
112,utilization,65% credit utilization? Here is the fix,"{""balance"":13000,""limit"":20000}"
113,min_trap,"What the minimum payment really costs on $18,500","{""balance"":18500,""apr"":27,""min_pct"":1,""min_floor"":25}"
114,extra_payment,"Add $150 a month to a $30,250 balance. Watch what happens","{""balance"":30250,""apr"":16,""payment"":1130,""extra"":150}"
115,snowball_vs_avalanche,"Snowball vs Avalanche on $27,600. Which wins?","{""debts"":[{""name"":""Card B"",""balance"":8200,""apr"":20,""min"":205},{""name"":""Store card"",""balance"":1200,""apr"":13,""min"":30},{""name"":""Card A"",""balance"":8500,""apr"":16,""min"":210},{""name"":""Personal loan"",""balance"":9700,""apr"":27,""min"":240}],""budget"":785}"
116,utilization,"The credit utilization math on a $12,000 limit","{""balance"":6350,""limit"":12000}"
117,min_trap,"$12,500 at 20% APR, minimum payments only. Brutal math","{""balance"":12500,""apr"":20,""min_pct"":1,""min_floor"":25}"
118,extra_payment,"$48,250 credit card debt at 19% APR? Do this","{""balance"":48250,""apr"":19,""payment"":1890,""extra"":300}"
119,snowball_vs_avalanche,"2 debts, $4,300 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card C"",""balance"":1600,""apr"":13,""min"":40},{""name"":""Card D"",""balance"":2700,""apr"":21,""min"":70}],""budget"":210}"
120,utilization,"Pay this much before your statement closes ($8,750 on $12,000)","{""balance"":8750,""limit"":12000}"
121,min_trap,"Why your $6,500 card balance never goes down","{""balance"":6500,""apr"":23,""min_pct"":1,""min_floor"":25}"
122,extra_payment,"$23,000 at 22%: paying $680 vs $1,180 a month","{""balance"":23000,""apr"":22,""payment"":680,""extra"":500}"
123,snowball_vs_avalanche,"4 debts, $48,300 total. Snowball or Avalanche?","{""debts"":[{""name"":""Personal loan"",""balance"":14400,""apr"":15,""min"":360},{""name"":""Card D"",""balance"":14200,""apr"":18,""min"":355},{""name"":""Card A"",""balance"":9600,""apr"":20,""min"":240},{""name"":""Store card"",""balance"":10100,""apr"":17,""min"":250}],""budget"":1355}"
124,utilization,"How much to pay to get under 30% utilization on a $10,000 card","{""balance"":3900,""limit"":10000}"
125,min_trap,"What the minimum payment really costs on $1,000","{""balance"":1000,""apr"":22,""min_pct"":1,""min_floor"":25}"
126,extra_payment,"$24,000 at 15%: paying $680 vs $830 a month","{""balance"":24000,""apr"":15,""payment"":680,""extra"":150}"
127,snowball_vs_avalanche,"2 debts, $20,600 total. Snowball or Avalanche?","{""debts"":[{""name"":""Card D"",""balance"":13900,""apr"":18,""min"":350},{""name"":""Card B"",""balance"":6700,""apr"":29,""min"":170}],""budget"":670}"
128,utilization,"How much to pay to get under 30% utilization on a $3,000 card","{""balance"":2600,""limit"":3000}"
129,min_trap,"What the minimum payment really costs on $15,250","{""balance"":15250,""apr"":28,""min_pct"":1,""min_floor"":25}"
130,extra_payment,"$46,250 at 22%: paying $1,240 vs $1,390 a month","{""balance"":46250,""apr"":22,""payment"":1240,""extra"":150}"
