keyword,pillar,params
debt snowball vs debt avalanche,snowball_vs_avalanche,"{""debts"":[{""name"":""Store card"",""balance"":1200,""apr"":18.99,""min"":35},{""name"":""Visa"",""balance"":6800,""apr"":27.49,""min"":170},{""name"":""Car loan"",""balance"":9500,""apr"":7.9,""min"":285}],""budget"":690}"
how to pay off credit card debt fast,extra_payment,"{""balance"":8000,""apr"":24,""payment"":240,""extra"":150}"
what is credit utilization,utilization,"{""balance"":2400,""limit"":5000}"
why paying the minimum on a credit card is a trap,min_trap,"{""balance"":5000,""apr"":24,""min_pct"":1,""min_floor"":25}"
debt avalanche method explained,snowball_vs_avalanche,"{""debts"":[{""name"":""Card A"",""balance"":2500,""apr"":24.99,""min"":65},{""name"":""Card B"",""balance"":7400,""apr"":29.99,""min"":185},{""name"":""Personal loan"",""balance"":5200,""apr"":11.5,""min"":160},{""name"":""Store card"",""balance"":900,""apr"":26.99,""min"":30}],""budget"":640}"
how does credit card interest work,extra_payment,"{""balance"":3000,""apr"":22,""payment"":120,""extra"":50}"
how to lower credit utilization fast,utilization,"{""balance"":3600,""limit"":6000}"
debt snowball method explained,snowball_vs_avalanche,"{""debts"":[{""name"":""Card A"",""balance"":2500,""apr"":24.99,""min"":65},{""name"":""Card B"",""balance"":7400,""apr"":29.99,""min"":185},{""name"":""Personal loan"",""balance"":5200,""apr"":11.5,""min"":160},{""name"":""Store card"",""balance"":900,""apr"":26.99,""min"":30}],""budget"":540}"
how long does it take to pay off credit card debt,min_trap,"{""balance"":7500,""apr"":22,""min_pct"":1,""min_floor"":25}"
is it better to pay off the smallest debt or highest interest first,snowball_vs_avalanche,"{""debts"":[{""name"":""Store card"",""balance"":1200,""apr"":18.99,""min"":35},{""name"":""Visa"",""balance"":6800,""apr"":27.49,""min"":170},{""name"":""Car loan"",""balance"":9500,""apr"":7.9,""min"":285}],""budget"":790}"
"how long to pay off $25,000 in credit card debt with minimum payments",min_trap,"{""balance"":25000,""apr"":21,""min_pct"":1,""min_floor"":25}"
"credit utilization on a $5,000 credit limit",utilization,"{""balance"":2500,""limit"":5000}"
"credit utilization on a $15,000 credit limit",utilization,"{""balance"":7500,""limit"":15000}"
is 50 percent credit utilization bad,utilization,"{""balance"":2500,""limit"":5000}"
"how long to pay off $1,000 in credit card debt with minimum payments",min_trap,"{""balance"":1000,""apr"":22,""min_pct"":1,""min_floor"":25}"
"paying $270 a month on $7,500 credit card",extra_payment,"{""balance"":7500,""apr"":19,""payment"":220,""extra"":50}"
"credit utilization on a $1,500 credit limit",utilization,"{""balance"":750,""limit"":1500}"
debt snowball example with 3 debts,snowball_vs_avalanche,"{""debts"":[{""name"":""Store card"",""balance"":1200,""apr"":18.99,""min"":35},{""name"":""Visa"",""balance"":6800,""apr"":27.49,""min"":170},{""name"":""Car loan"",""balance"":9500,""apr"":7.9,""min"":285}],""budget"":890}"
"paying $650 a month on $15,000 credit card",extra_payment,"{""balance"":15000,""apr"":19,""payment"":450,""extra"":200}"
is 45 percent credit utilization bad,utilization,"{""balance"":900,""limit"":2000}"
"credit utilization on a $3,000 credit limit",utilization,"{""balance"":2400,""limit"":3000}"
"paying $140 a month on $3,000 credit card",extra_payment,"{""balance"":3000,""apr"":19,""payment"":90,""extra"":50}"
is 60 percent credit utilization bad,utilization,"{""balance"":4500,""limit"":7500}"
"how to pay off $1,000 credit card debt",extra_payment,"{""balance"":1000,""apr"":22,""payment"":50,""extra"":100}"
"how long to pay off $12,000 in credit card debt with minimum payments",min_trap,"{""balance"":12000,""apr"":19,""min_pct"":1,""min_floor"":25}"
